,position,well,volume,xpos,ypos,field,XY,DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Teg,Plate,Well,Target,Field,XPos,YPos,Date,Time,ImageFile,Background,EjBound,SedBound,DetDiaMinTrans,DetDiaMaxTrans,IsoDiaMinTrans,IsoDiaMaxTrans,IsoIntMinTrans,IsoIntMaxTrans,IsoDiaMinFlu,IsoDiaMaxFlu,IsoIntMinFlu,IsoIntMaxFlu,CellType,CellSortFile,PickupXpos,PickupYpos,PickupWell,PickupPlate,DevX,DevY,RawFileName,MSAquisDateTime,Channel
20,8/65,"1G14,","20000,",65.0,8.0,1.0,1_65_8,5948.0,192.87,88.86,20.36,1.39,1.03,73.45,Transmission,1.0,A-1,1.0,1.0,65.0,8.0,08/06/2024,19:14:57,"=HYPERLINK(""5948_Printed_T1_F1_R8_C65_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,41.0,-3.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.18
21,11/19,"1G3,","20000,",19.0,11.0,1.0,1_19_11,1340.0,234.82,49.75,17.44,1.87,1.1,71.52,Transmission,1.0,A-1,1.0,1.0,19.0,11.0,08/06/2024,19:03:20,"=HYPERLINK(""1340_Printed_T1_F1_R11_C19_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,-5.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.7
22,11/23,"1G4,","20000,",23.0,11.0,1.0,1_23_11,1823.0,332.92,105.01,19.37,1.27,1.01,83.19,Transmission,1.0,A-1,1.0,1.0,23.0,11.0,08/06/2024,19:04:33,"=HYPERLINK(""1823_Printed_T1_F1_R11_C23_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,-1.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.8
23,11/27,"1G5,","20000,",27.0,11.0,1.0,1_27_11,2119.0,238.05,97.32,22.15,1.62,1.06,82.74,Transmission,1.0,A-1,1.0,1.0,27.0,11.0,08/06/2024,19:05:21,"=HYPERLINK(""2119_Printed_T1_F1_R11_C27_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,3.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.9
24,11/31,"1G6,","20000,",31.0,11.0,1.0,1_31_11,2894.0,325.26,109.37,19.04,1.44,1.03,84.75,Transmission,1.0,A-1,1.0,1.0,31.0,11.0,08/06/2024,19:07:14,"=HYPERLINK(""2894_Printed_T1_F1_R11_C31_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,7.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.10
25,11/37,"1G2,","20000,",37.0,11.0,1.0,1_37_11,3183.0,211.65,95.69,23.77,1.68,1.07,84.81,Transmission,1.0,A-1,1.0,1.0,37.0,11.0,08/06/2024,19:07:56,"=HYPERLINK(""3183_Printed_T1_F1_R11_C37_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,13.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.6
26,11/45,"1G4,","20000,",45.0,11.0,1.0,1_45_11,4042.0,234.36,89.49,19.29,1.41,1.03,77.63,Transmission,1.0,A-1,1.0,1.0,45.0,11.0,08/06/2024,19:10:07,"=HYPERLINK(""4042_Printed_T1_F1_R11_C45_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,21.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.8
27,11/49,"1G5,","20000,",49.0,11.0,1.0,1_49_11,4781.0,332.54,67.8,18.77,1.37,1.02,77.22,Transmission,1.0,A-1,1.0,1.0,49.0,11.0,08/06/2024,19:11:55,"=HYPERLINK(""4781_Printed_T1_F1_R11_C49_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,25.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.9
28,11/55,"1G1,","20000,",55.0,11.0,1.0,1_55_11,4953.0,204.24,69.37,16.31,1.26,1.01,87.36,Transmission,1.0,A-1,1.0,1.0,55.0,11.0,08/06/2024,19:12:22,"=HYPERLINK(""4953_Printed_T1_F1_R11_C55_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,31.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.5
29,11/59,"1G2,","20000,",59.0,11.0,1.0,1_59_11,5421.0,260.02,86.14,19.93,1.3,1.02,74.81,Transmission,1.0,A-1,1.0,1.0,59.0,11.0,08/06/2024,19:13:33,"=HYPERLINK(""5421_Printed_T1_F1_R11_C59_(A-1)_Trans_samplename_Run.png"")","=HYPERLINK(""20240608_18595408_sample name_Background.png"")",217.0,200.0,14.0,26.0,5.0,100.0,1.0,255.0,0.0,0.0,0.0,0.0,HEK_unfixed,C:\\Users\\alexr\\Downloads\\DemoSCP\\Cell_files\\HEK_unfixed.xls,24.0,11.0,A5,1.0,35.0,0.0,SH_240625_WA5_F01_C03_R04_S0005.d,,Reporter.intensity.6
